YEAR,AGG_LEVEL,CAMPUS,REGION,DISTRICT NAME AND NUMBER,CHARTER_STATUS,CAMPNAME AND NUMBER,SECTION,HEADING,HEADNAME,YR23
2022-2023,CAMPUS SUMMARY,57816102,10,A W BROWN LEADERSHIP ACADEMY 057816,OPEN ENROLLMENT CHARTER,GENESIS CAMPUS PRE-K THRU 5 057816102,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,452
2022-2023,CAMPUS SUMMARY,57816102,10,A W BROWN LEADERSHIP ACADEMY 057816,OPEN ENROLLMENT CHARTER,GENESIS CAMPUS PRE-K THRU 5 057816102,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,30
2022-2023,CAMPUS SUMMARY,57816102,10,A W BROWN LEADERSHIP ACADEMY 057816,OPEN ENROLLMENT CHARTER,GENESIS CAMPUS PRE-K THRU 5 057816102,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,43
2022-2023,CAMPUS SUMMARY,57816101,10,A W BROWN LEADERSHIP ACADEMY 057816,OPEN ENROLLMENT CHARTER,QUEST CAMPUS PRE-K THRU 8 057816101,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,592
2022-2023,CAMPUS SUMMARY,57816101,10,A W BROWN LEADERSHIP ACADEMY 057816,OPEN ENROLLMENT CHARTER,QUEST CAMPUS PRE-K THRU 8 057816101,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,127
2022-2023,CAMPUS SUMMARY,57816101,10,A W BROWN LEADERSHIP ACADEMY 057816,OPEN ENROLLMENT CHARTER,QUEST CAMPUS PRE-K THRU 8 057816101,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,275
2022-2023,CAMPUS SUMMARY,57829001,10,A+ ACADEMY 057829,OPEN ENROLLMENT CHARTER,A+ ACADEMY EL 057829001,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,899
2022-2023,CAMPUS SUMMARY,57829001,10,A+ ACADEMY 057829,OPEN ENROLLMENT CHARTER,A+ ACADEMY EL 057829001,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,27
2022-2023,CAMPUS SUMMARY,57829001,10,A+ ACADEMY 057829,OPEN ENROLLMENT CHARTER,A+ ACADEMY EL 057829001,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,36
2022-2023,CAMPUS SUMMARY,57829002,10,A+ ACADEMY 057829,OPEN ENROLLMENT CHARTER,A+ SECONDARY SCHOOL 057829002,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,766
2022-2023,CAMPUS SUMMARY,57829002,10,A+ ACADEMY 057829,OPEN ENROLLMENT CHARTER,A+ SECONDARY SCHOOL 057829002,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,131
2022-2023,CAMPUS SUMMARY,57829002,10,A+ ACADEMY 057829,OPEN ENROLLMENT CHARTER,A+ SECONDARY SCHOOL 057829002,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,217
2022-2023,CAMPUS SUMMARY,101871102,4,A+ UNLIMITED POTENTIAL 101871,OPEN ENROLLMENT CHARTER,A+ UNLIMITED POTENTIAL - UNIVERSITY 101871102,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,183
2022-2023,CAMPUS SUMMARY,101871102,4,A+ UNLIMITED POTENTIAL 101871,OPEN ENROLLMENT CHARTER,A+ UNLIMITED POTENTIAL - UNIVERSITY 101871102,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,29
2022-2023,CAMPUS SUMMARY,101871102,4,A+ UNLIMITED POTENTIAL 101871,OPEN ENROLLMENT CHARTER,A+ UNLIMITED POTENTIAL - UNIVERSITY 101871102,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,39
2022-2023,CAMPUS SUMMARY,109901001,12,ABBOTT ISD 109901,TRADITIONAL ISD/CSD,ABBOTT SCHOOL 109901001,A-PARTICIPATION,A01,CAMPUS CUMULATIVE YEAR END ENROLLMENT,296
2022-2023,CAMPUS SUMMARY,109901001,12,ABBOTT ISD 109901,TRADITIONAL ISD/CSD,ABBOTT SCHOOL 109901001,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,27
2022-2023,CAMPUS SUMMARY,109901001,12,ABBOTT ISD 109901,TRADITIONAL ISD/CSD,ABBOTT SCHOOL 109901001,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,37
2022-2023,CAMPUS SUMMARY,95901003,17,ABERNATHY ISD 095901,TRADITIONAL ISD/CSD,ABERNATHY DAEP 095901003,A-PARTICIPATION,A02,CAMPUS DISCIPLINE POPULATION,-999
2022-2023,CAMPUS SUMMARY,95901003,17,ABERNATHY ISD 095901,TRADITIONAL ISD/CSD,ABERNATHY DAEP 095901003,A-PARTICIPATION,A03,CAMPUS DISCIPLINE RECORD COUNT,-999
