Distric Number,District,% Eco Disadvantaged,2020 4-Year Graduation Rate,2020 Dropout Rate
1902,CAYUGA ISD ,37.8,97.4,0
1903,ELKHART ISD ,47.6,98.9,0
1904,FRANKSTON ISD ,55.6,98,0
1906,NECHES ISD ,49.7,97,0
1907,PALESTINE ISD ,80.2,98.3,0.1
1908,WESTWOOD ISD ,68.6,97,0.4
1909,SLOCUM ISD ,41.5,96.3,0
2901,ANDREWS ISD ,46.6,94.8,0.9
3801,PINEYWOODS COMMUNITY ACADEMY ,50.8,100,0
3902,HUDSON ISD ,52.3,94.6,0.8
3903,LUFKIN ISD ,83.9,93.3,1.3
3904,HUNTINGTON ISD ,57.6,95.5,0
3905,DIBOLL ISD ,99.8,96.4,0.6
3906,ZAVALLA ISD ,63.7,93.1,3.1
3907,CENTRAL ISD ,74.7,98,0.5
4901,ARANSAS COUNTY ISD ,68,92.3,0.6
5901,ARCHER CITY ISD ,46.5,100,1.2
5902,HOLLIDAY ISD ,22.5,98.8,0
5904,WINDTHORST ISD ,38,100,0
6902,CLAUDE ISD ,31.4,95.2,0
7901,CHARLOTTE ISD ,70.6,100,0
7902,JOURDANTON ISD ,53.7,96.6,0
7904,LYTLE ISD ,67,93.3,1.2
7905,PLEASANTON ISD ,63.5,97.2,0.6
7906,POTEET ISD ,60.8,97.2,1.7
8901,BELLVILLE ISD ,45.7,98.2,0
8902,SEALY ISD ,59.5,96.9,0
8903,BRAZOS ISD ,62.5,100,1.1
9901,MULESHOE ISD ,85.8,98.7,0.3
10901,MEDINA ISD ,67.8,95,1
10902,BANDERA ISD ,49.5,90.2,2
11901,BASTROP ISD ,72.9,96,0.3
11902,ELGIN ISD ,78.7,88.9,2
11904,SMITHVILLE ISD ,56.5,94.3,0.8
11905,MCDADE ISD ,50.9,,0
12901,SEYMOUR ISD ,57.8,100,0
13801,ST MARY'S ACADEMY CHARTER SCHOOL ,77.7,,
13901,BEEVILLE ISD ,87.6,94.4,0.7
13902,PAWNEE ISD ,83.2,,
13903,PETTUS ISD ,68.3,94.4,0
13905,SKIDMORE-TYNAN ISD ,58.2,95.6,1.4
